,Unnamed: 0,commit_date,git_project.project_value,transaction.nb_tokens,committer_username,git_project.name
115,115,2018-10-08T21:47:26+00:00,16175,0.81,ndoulgeridis,SDG Market (frontend)
114,114,2018-10-09T23:56:18+00:00,16175,346.76,ndoulgeridis,SDG Market (frontend)
38,38,2018-10-09T23:56:18+00:00,15055,396.72,ndoulgeridis,SDG Market (API)
113,113,2018-10-10T07:36:27+00:00,16175,0.83,gilles-hemmerle,SDG Market (frontend)
37,37,2018-10-10T07:36:27+00:00,15055,0.95,gilles-hemmerle,SDG Market (API)
36,36,2018-10-10T14:19:10+00:00,15055,288.88,gilles-hemmerle,SDG Market (API)
112,112,2018-10-10T14:19:10+00:00,16175,250.84,gilles-hemmerle,SDG Market (frontend)
111,111,2018-10-11T00:43:16+00:00,16175,100.87,ndoulgeridis,SDG Market (frontend)
35,35,2018-10-11T00:43:16+00:00,15055,116.5,ndoulgeridis,SDG Market (API)
110,110,2018-10-11T13:29:35+00:00,16175,185.82,gilles-hemmerle,SDG Market (frontend)
34,34,2018-10-11T13:29:35+00:00,15055,215.77,gilles-hemmerle,SDG Market (API)
109,109,2018-10-14T01:32:14+00:00,16175,90.6,ndoulgeridis,SDG Market (frontend)
33,33,2018-10-14T01:32:14+00:00,15055,105.49,ndoulgeridis,SDG Market (API)
108,108,2018-10-14T01:32:43+00:00,16175,0.25,ndoulgeridis,SDG Market (frontend)
32,32,2018-10-14T01:32:43+00:00,15055,0.29,ndoulgeridis,SDG Market (API)
31,31,2018-10-14T01:39:48+00:00,15055,0.97,ndoulgeridis,SDG Market (API)
107,107,2018-10-14T01:39:48+00:00,16175,0.83,ndoulgeridis,SDG Market (frontend)
30,30,2018-10-14T15:17:49+00:00,15055,31.15,ndoulgeridis,SDG Market (API)
106,106,2018-10-14T15:17:49+00:00,16175,26.73,ndoulgeridis,SDG Market (frontend)
29,29,2018-10-15T12:12:58+00:00,15055,70.92,gilles-hemmerle,SDG Market (API)
105,105,2018-10-15T12:12:58+00:00,16175,60.74,gilles-hemmerle,SDG Market (frontend)
28,28,2018-10-16T06:46:22+00:00,15055,172.49,gilles-hemmerle,SDG Market (API)
104,104,2018-10-16T06:46:22+00:00,16175,147.04,gilles-hemmerle,SDG Market (frontend)
27,27,2018-10-16T06:51:50+00:00,15055,0.18,gilles-hemmerle,SDG Market (API)
103,103,2018-10-16T06:51:50+00:00,16175,0.16,gilles-hemmerle,SDG Market (frontend)
26,26,2018-10-16T06:52:59+00:00,15055,898.58,gilles-hemmerle,SDG Market (API)
102,102,2018-10-16T06:52:59+00:00,16175,743.74,gilles-hemmerle,SDG Market (frontend)
101,101,2018-10-16T13:59:21+00:00,16175,22.47,,SDG Market (frontend)
25,25,2018-10-16T13:59:21+00:00,15055,27.18,,SDG Market (API)
100,100,2018-10-16T14:09:13+00:00,16175,188.54,gilles-hemmerle,SDG Market (frontend)
24,24,2018-10-16T14:09:13+00:00,15055,230.0,gilles-hemmerle,SDG Market (API)
99,99,2018-10-16T14:10:05+00:00,16175,22.92,gilles-hemmerle,SDG Market (frontend)
23,23,2018-10-16T14:10:05+00:00,15055,27.99,gilles-hemmerle,SDG Market (API)
22,22,2018-10-19T08:54:03+00:00,15055,11.65,,SDG Market (API)
98,98,2018-10-19T08:54:03+00:00,16175,9.54,,SDG Market (frontend)
97,97,2018-10-19T09:16:35+00:00,16175,332.58,gilles-hemmerle,SDG Market (frontend)
21,21,2018-10-19T09:16:35+00:00,15055,413.36,gilles-hemmerle,SDG Market (API)
20,20,2018-10-19T15:09:18+00:00,15055,16.7,,SDG Market (API)
96,96,2018-10-19T15:09:18+00:00,16175,13.43,,SDG Market (frontend)
95,95,2018-10-19T15:10:00+00:00,16175,344.75,,SDG Market (frontend)
19,19,2018-10-19T15:10:00+00:00,15055,437.74,,SDG Market (API)
18,18,2018-10-22T07:57:24+00:00,15055,0.29,,SDG Market (API)
94,94,2018-10-22T07:57:24+00:00,16175,0.23,,SDG Market (frontend)
93,93,2018-10-22T09:51:42+00:00,16175,245.75,gilles-hemmerle,SDG Market (frontend)
17,17,2018-10-22T09:51:42+00:00,15055,317.28,gilles-hemmerle,SDG Market (API)
16,16,2018-10-22T09:52:18+00:00,15055,32.37,gilles-hemmerle,SDG Market (API)
92,92,2018-10-22T09:52:18+00:00,16175,25.03,gilles-hemmerle,SDG Market (frontend)
91,91,2018-10-22T12:47:56+00:00,16175,195.73,gilles-hemmerle,SDG Market (frontend)
15,15,2018-10-22T12:47:56+00:00,15055,256.9,gilles-hemmerle,SDG Market (API)
14,14,2018-10-22T12:48:56+00:00,15055,5.05,gilles-hemmerle,SDG Market (API)
90,90,2018-10-22T12:48:56+00:00,16175,3.84,gilles-hemmerle,SDG Market (frontend)
13,13,2018-10-22T12:54:33+00:00,15055,4447.7,,SDG Market (API)
89,89,2018-10-22T13:12:31+00:00,16175,7432.36,,SDG Market (frontend)
12,12,2018-10-23T07:09:29+00:00,15055,660.56,gilles-hemmerle,SDG Market (API)
88,88,2018-10-23T07:14:58+00:00,16175,170.13,gilles-hemmerle,SDG Market (frontend)
87,87,2018-10-23T07:21:01+00:00,16175,0.65,,SDG Market (frontend)
86,86,2018-10-23T07:21:43+00:00,16175,192.02,,SDG Market (frontend)
85,85,2018-10-23T09:09:51+00:00,16175,1.21,,SDG Market (frontend)
11,11,2018-10-23T11:47:36+00:00,15055,288.79,gilles-hemmerle,SDG Market (API)
84,84,2018-10-23T11:48:16+00:00,16175,11.35,gilles-hemmerle,SDG Market (frontend)
83,83,2018-10-23T11:48:50+00:00,16175,0.47,gilles-hemmerle,SDG Market (frontend)
10,10,2018-10-23T11:48:59+00:00,15055,0.83,,SDG Market (API)
82,82,2018-10-23T12:23:57+00:00,16175,94.66,gilles-hemmerle,SDG Market (frontend)
9,9,2018-10-23T12:45:39+00:00,15055,370.54,,SDG Market (API)
8,8,2018-10-23T13:10:05+00:00,15055,22.49,,SDG Market (API)
81,81,2018-10-23T13:12:53+00:00,16175,64.22,gilles-hemmerle,SDG Market (frontend)
80,80,2018-10-23T13:30:35+00:00,16175,80.03,gilles-hemmerle,SDG Market (frontend)
79,79,2018-10-23T14:00:11+00:00,16175,33.83,,SDG Market (frontend)
78,78,2018-10-23T14:46:48+00:00,16175,9.42,,SDG Market (frontend)
7,7,2018-10-23T15:39:59+00:00,15055,0.23,,SDG Market (API)
6,6,2018-10-23T16:21:11+00:00,15055,2.18,,SDG Market (API)
77,77,2018-10-23T16:23:35+00:00,16175,6.78,,SDG Market (frontend)
76,76,2018-10-23T16:35:14+00:00,16175,40.38,gilles-hemmerle,SDG Market (frontend)
75,75,2018-10-23T16:35:45+00:00,16175,54.82,gilles-hemmerle,SDG Market (frontend)
74,74,2018-10-23T19:18:34+00:00,16175,0.18,,SDG Market (frontend)
73,73,2018-10-23T19:20:22+00:00,16175,44.13,,SDG Market (frontend)
72,72,2018-10-23T19:46:58+00:00,16175,0.0,,SDG Market (frontend)
71,71,2018-10-23T20:44:27+00:00,16175,5.9,,SDG Market (frontend)
70,70,2018-10-23T20:51:51+00:00,16175,22.93,,SDG Market (frontend)
5,5,2018-10-23T21:46:04+00:00,15055,38.23,gilles-hemmerle,SDG Market (API)
4,4,2018-10-23T21:46:22+00:00,15055,2.49,gilles-hemmerle,SDG Market (API)
3,3,2018-10-23T22:14:16+00:00,15055,0.56,gilles-hemmerle,SDG Market (API)
69,69,2018-10-23T22:14:39+00:00,16175,0.29,gilles-hemmerle,SDG Market (frontend)
68,68,2018-10-23T22:14:55+00:00,16175,29.6,gilles-hemmerle,SDG Market (frontend)
2,2,2018-10-24T07:26:27+00:00,15055,24.2,gilles-hemmerle,SDG Market (API)
