,commit_date,git_project.project_value,transaction.nb_tokens,committer_username,git_project.name
75,2018-10-23T16:35:45+00:00,16175,54.82,gilles-hemmerle,SDG Market (frontend)
76,2018-10-23T16:35:14+00:00,16175,40.38,gilles-hemmerle,SDG Market (frontend)
77,2018-10-23T16:23:35+00:00,16175,6.78,,SDG Market (frontend)
78,2018-10-23T14:46:48+00:00,16175,9.42,,SDG Market (frontend)
79,2018-10-23T14:00:11+00:00,16175,33.83,,SDG Market (frontend)
80,2018-10-23T13:30:35+00:00,16175,80.03,gilles-hemmerle,SDG Market (frontend)
81,2018-10-23T13:12:53+00:00,16175,64.22,gilles-hemmerle,SDG Market (frontend)
82,2018-10-23T12:23:57+00:00,16175,94.66,gilles-hemmerle,SDG Market (frontend)
83,2018-10-23T11:48:50+00:00,16175,0.47,gilles-hemmerle,SDG Market (frontend)
84,2018-10-23T11:48:16+00:00,16175,11.35,gilles-hemmerle,SDG Market (frontend)
85,2018-10-23T09:09:51+00:00,16175,1.21,,SDG Market (frontend)
86,2018-10-23T07:21:43+00:00,16175,192.02,,SDG Market (frontend)
87,2018-10-23T07:21:01+00:00,16175,0.65,,SDG Market (frontend)
88,2018-10-23T07:14:58+00:00,16175,170.13,gilles-hemmerle,SDG Market (frontend)
89,2018-10-22T13:12:31+00:00,16175,7432.36,,SDG Market (frontend)
90,2018-10-22T12:48:56+00:00,16175,3.84,gilles-hemmerle,SDG Market (frontend)
91,2018-10-22T12:47:56+00:00,16175,195.73,gilles-hemmerle,SDG Market (frontend)
92,2018-10-22T09:52:18+00:00,16175,25.03,gilles-hemmerle,SDG Market (frontend)
93,2018-10-22T09:51:42+00:00,16175,245.75,gilles-hemmerle,SDG Market (frontend)
94,2018-10-22T07:57:24+00:00,16175,0.23,,SDG Market (frontend)
95,2018-10-19T15:10:00+00:00,16175,344.75,,SDG Market (frontend)
96,2018-10-19T15:09:18+00:00,16175,13.43,,SDG Market (frontend)
97,2018-10-19T09:16:35+00:00,16175,332.58,gilles-hemmerle,SDG Market (frontend)
98,2018-10-19T08:54:03+00:00,16175,9.54,,SDG Market (frontend)
99,2018-10-16T14:10:05+00:00,16175,22.92,gilles-hemmerle,SDG Market (frontend)
100,2018-10-16T14:09:13+00:00,16175,188.54,gilles-hemmerle,SDG Market (frontend)
101,2018-10-16T13:59:21+00:00,16175,22.47,,SDG Market (frontend)
102,2018-10-16T06:52:59+00:00,16175,743.74,gilles-hemmerle,SDG Market (frontend)
103,2018-10-16T06:51:50+00:00,16175,0.16,gilles-hemmerle,SDG Market (frontend)
104,2018-10-16T06:46:22+00:00,16175,147.04,gilles-hemmerle,SDG Market (frontend)
105,2018-10-15T12:12:58+00:00,16175,60.74,gilles-hemmerle,SDG Market (frontend)
106,2018-10-14T15:17:49+00:00,16175,26.73,ndoulgeridis,SDG Market (frontend)
